,propietario_casa,cant_carros,niños_total,ingreso_anual,comprador_bici,gasto_mensual_medio,edad,escolaridad_Bachelors,escolaridad_Graduate Degree,escolaridad_High School,escolaridad_Partial College,escolaridad_Partial High School,ocupación_Clerical,ocupación_Management,ocupación_Manual,ocupación_Professional,ocupación_Skilled Manual,género_F,género_M,estado_civil_M,estado_civil_S
0,1,3,1,81916,1,50.97,36,1,0,0,0,0,1,0,0,0,0,0,1,1,0
1,1,2,2,81076,1,53.11,51,0,0,0,1,0,1,0,0,0,0,0,1,1,0
2,0,3,0,86387,1,54.08,38,1,0,0,0,0,1,0,0,0,0,1,0,0,1
3,1,2,2,61481,1,56.93,46,0,0,0,1,0,0,0,0,0,1,0,1,1,0
4,1,1,0,51804,1,55.41,49,0,0,0,1,0,0,0,0,0,1,0,1,0,1
5,1,2,2,61944,1,49.31,49,0,0,1,0,0,0,0,0,0,1,1,0,1,0
6,1,1,0,34919,0,56.01,52,0,0,0,1,0,0,0,1,0,0,0,1,0,1
7,0,1,0,61832,1,49.29,27,0,0,0,1,0,0,0,0,0,1,1,0,1,0
8,1,0,2,83834,1,50.05,47,0,0,0,1,0,1,0,0,0,0,1,0,1,0
9,0,1,0,26880,0,54.15,47,0,0,1,0,0,0,0,1,0,0,0,1,0,1
10,0,1,0,77258,0,54.02,25,0,0,0,1,0,1,0,0,0,0,1,0,0,1
11,1,3,0,102698,0,58.29,42,1,0,0,0,0,0,1,0,0,0,0,1,1,0
12,1,1,2,108198,1,52.66,39,1,0,0,0,0,0,1,0,0,0,1,0,1,0
13,1,2,2,133762,0,52.5,63,1,0,0,0,0,0,0,0,1,0,0,1,1,0
14,0,1,0,30526,0,49.61,32,0,0,0,0,1,0,0,1,0,0,0,1,0,1
15,1,2,2,56353,1,49.04,53,0,0,0,1,0,0,0,0,0,1,1,0,1,0
16,1,3,1,79019,1,50.48,58,0,0,1,0,0,1,0,0,0,0,1,0,0,1
17,0,2,0,55387,1,51.0,31,0,0,0,1,0,0,0,0,0,1,0,1,0,1
18,1,2,2,113276,0,58.69,42,1,0,0,0,0,0,1,0,0,0,0,1,1,0
19,1,1,1,109259,0,52.3,60,0,0,0,1,0,0,1,0,0,0,0,1,0,1
20,1,0,2,83845,0,50.38,43,0,0,1,0,0,1,0,0,0,0,1,0,1,0
21,1,0,2,59527,1,53.22,47,0,0,1,0,0,0,0,0,0,1,1,0,1,0
22,1,1,1,108360,0,51.88,62,1,0,0,0,0,0,1,0,0,0,0,1,0,1
23,0,1,0,87504,0,49.72,27,0,0,0,1,0,1,0,0,0,0,0,1,1,0
24,0,0,0,55461,1,48.76,31,1,0,0,0,0,0,0,0,0,1,1,0,1,0
25,1,2,0,137464,1,52.03,34,1,0,0,0,0,0,0,0,1,0,1,0,0,1
26,1,2,1,87676,1,49.89,34,0,0,1,0,0,1,0,0,0,0,0,1,1,0
