,Cause of death or injury,Measure,Value_2017,2005-2010 DA%Change
0,Tuberculosis,Percent of total deaths,0.0211573756141351,-0.0325487755559998
1,HIV/AIDS,Percent of total deaths,0.0170611251089369,-0.0456628972256115
2,Diarrheal diseases,Percent of total deaths,0.0280533101090737,-0.0193584742704781
3,Other intestinal infectious diseases,Percent of total deaths,2.58723479591e-05,-0.0663090702758617
4,Lower respiratory infections,Percent of total deaths,0.0457336479660751,-0.0211496438852426
5,Upper respiratory infections,Percent of total deaths,0.0001628671493701,-0.0724115430345683
6,Otitis media,Percent of total deaths,1.69440385863e-05,-0.0566845229686553
7,Meningitis,Percent of total deaths,0.005148121667779,-0.0373921923661004
8,Encephalitis,Percent of total deaths,0.0016510598694873,-0.0229988286102129
9,Diphtheria,Percent of total deaths,6.47776890652e-05,-0.1350428734453274
10,Whooping cough,Percent of total deaths,0.0016408007069808,-0.0447329834586024
11,Tetanus,Percent of total deaths,0.0006816135000307,-0.1121259593686446
12,Measles,Percent of total deaths,0.0017034712666564,-0.1350579253385449
13,Varicella and herpes zoster,Percent of total deaths,0.0002786693563271,-0.0311836222741761
14,Malaria,Percent of total deaths,0.011078340274879,-0.045183258021185
15,Chagas disease,Percent of total deaths,0.0001403720918739,-0.0147370546651001
16,Leishmaniasis,Percent of total deaths,0.0001345632685432,-0.1066566175443224
17,African trypanosomiasis,Percent of total deaths,2.43933373104e-05,-0.1812412129169514
18,Schistosomiasis,Percent of total deaths,0.0001579495392248,-0.0306379651873642
19,Cysticercosis,Percent of total deaths,1.33908238799e-05,-0.0363208942562328
20,Cystic echinococcosis,Percent of total deaths,2.1386062453e-05,-0.051199380924484
21,Lymphatic filariasis,Percent of total deaths,0.0,0.0
22,Onchocerciasis,Percent of total deaths,0.0,0.0
23,Trachoma,Percent of total deaths,0.0,0.0
24,Dengue,Percent of total deaths,0.0007233386058357,0.0362668474950215
25,Yellow fever,Percent of total deaths,8.55471470431e-05,-0.0387479644253421
26,Rabies,Percent of total deaths,0.0002083847259727,-0.0819993704346103
27,Intestinal nematode infections,Percent of total deaths,5.73008269868e-05,-0.0685607376129447
28,Food-borne trematodiases,Percent of total deaths,0.0,0.0
29,Other neglected tropical diseases,Percent of total deaths,0.0002245173644245,-0.0068570054646216
30,Maternal disorders,Percent of total deaths,0.0034610645158844,-0.0318097670937832
31,Neonatal disorders,Percent of total deaths,0.0318836686735364,-0.0335789811200444
32,Protein-energy malnutrition,Percent of total deaths,0.0041427851160826,-0.0345190613001418
33,Iodine deficiency,Percent of total deaths,0.0,0.0
