,propietario_casa,#carros,niños_en_casa,niños_total,ingreso_anual,comprador_bici,gasto_mensual_medio,edad,escolaridad_cod,ocup_cod,genero_cod,civil_cod
0,1,3,0,1,81916,1,50.97,36,1,2,1,1
1,1,2,1,2,81076,1,53.11,51,2,2,1,1
2,0,3,0,0,86387,1,54.08,38,1,2,2,2
3,1,2,1,2,61481,1,56.93,46,2,1,1,1
4,1,1,0,0,51804,1,55.41,49,2,1,1,2
5,1,2,2,2,61944,1,49.31,49,3,1,2,1
6,1,1,0,0,34919,0,56.01,52,2,3,1,2
7,0,1,0,0,61832,1,49.29,27,2,1,2,1
8,1,0,0,2,83834,1,50.05,47,2,2,2,1
9,0,1,0,0,26880,0,54.15,47,3,3,1,2
10,0,1,0,0,77258,0,54.02,25,2,2,2,2
11,1,3,0,0,102698,0,58.29,42,1,4,1,1
12,1,1,1,2,108198,1,52.66,39,1,4,2,1
13,1,2,0,2,133762,0,52.5,63,1,5,1,1
14,0,1,0,0,30526,0,49.61,32,5,3,1,2
15,1,2,0,2,56353,1,49.04,53,2,1,2,1
16,1,3,1,1,79019,1,50.48,58,3,2,2,2
17,0,2,0,0,55387,1,51.0,31,2,1,1,2
18,1,2,0,2,113276,0,58.69,42,1,4,1,1
19,1,1,0,1,109259,0,52.3,60,2,4,1,2
20,1,0,0,2,83845,0,50.38,43,3,2,2,1
21,1,0,2,2,59527,1,53.22,47,3,1,2,1
22,1,1,0,1,108360,0,51.88,62,1,4,1,2
23,0,1,0,0,87504,0,49.72,27,2,2,1,1
24,0,0,0,0,55461,1,48.76,31,1,1,2,1
25,1,2,0,0,137464,1,52.03,34,1,5,2,2
26,1,2,0,1,87676,1,49.89,34,3,2,1,1
27,1,3,0,2,104187,1,51.15,58,1,4,1,1
28,0,1,0,0,78222,1,53.53,40,1,2,1,2
29,1,2,0,1,77383,0,50.59,37,4,2,2,1
30,1,1,2,2,60700,1,49.29,39,3,1,2,1
31,0,0,0,0,30913,0,49.0,43,3,3,2,2
32,1,2,0,0,86952,1,54.71,45,2,2,2,2
33,1,2,1,2,58567,1,55.64,45,4,1,1,1
34,0,0,0,0,77478,0,50.55,26,2,2,1,1
35,1,2,0,1,78406,0,50.16,35,1,2,1,1
36,0,1,0,0,85318,0,51.02,33,2,2,1,2
37,0,0,0,0,52928,1,52.17,27,3,1,2,2
38,0,2,0,0,79224,1,52.31,36,1,2,2,2
39,0,0,0,1,33076,1,53.13,40,2,3,1,1
40,1,1,0,2,56641,0,48.89,38,3,1,2,1
41,1,0,0,1,27203,0,52.46,41,3,3,1,1
42,0,3,0,0,77098,0,50.21,37,3,2,2,2
43,1,3,2,2,103200,1,53.97,35,1,4,1,1
44,0,2,0,0,53784,0,50.85,39,1,1,2,2
45,0,1,0,0,25826,0,47.53,49,2,3,2,2
46,1,0,1,1,30925,1,50.48,42,3,3,1,1
47,1,1,1,2,30288,0,50.57,52,5,3,2,1
48,0,0,0,0,34685,1,48.1,38,1,3,1,2
49,0,1,1,1,58213,1,51.99,34,4,1,2,1
50,0,0,0,0,108342,1,51.43,28,2,4,1,2
51,1,2,1,1,130385,1,55.52,36,1,5,2,1
52,0,2,0,0,58227,1,50.76,39,2,1,2,2
53,0,1,0,0,52156,1,47.68,29,2,1,1,2
54,1,2,0,0,131458,1,57.1,37,4,5,1,2
55,0,1,0,0,33510,0,46.25,26,2,3,1,2
56,1,1,0,1,56785,0,51.34,57,3,1,2,2
57,0,1,0,0,58201,0,51.29,30,2,1,2,2
58,1,2,0,1,82359,1,49.64,38,1,2,2,1
59,1,2,1,2,55654,1,50.98,58,5,1,2,1
60,1,1,1,2,33167,0,58.85,43,3,3,1,1
61,1,3,0,1,107883,1,52.81,58,2,4,2,2
62,1,1,2,2,80056,1,53.16,66,3,2,2,1
63,0,2,0,0,54577,1,49.8,39,5,1,1,2
64,0,0,1,1,36070,1,59.05,37,1,3,1,1
65,1,2,1,2,54049,1,54.19,39,1,1,1,1
66,0,1,0,0,112726,0,55.8,24,2,4,1,2
67,1,1,0,2,29749,0,48.95,53,2,3,1,1
68,1,2,2,2,56820,1,55.26,45,1,1,1,1
69,1,3,0,0,102647,1,51.75,53,2,4,2,2
70,0,2,0,0,82258,1,51.48,27,2,2,2,2
71,1,1,2,2,54200,1,55.34,47,3,1,1,1
72,0,2,0,0,60908,1,51.97,28,2,1,2,2
73,1,2,0,0,105007,1,54.5,36,1,4,1,2
74,1,0,1,1,32319,1,48.12,47,3,3,2,1
75,0,1,0,0,52311,0,57.27,42,2,1,1,2
76,1,2,0,0,82851,0,54.25,43,2,2,2,2
77,1,1,2,2,29111,0,53.22,52,3,3,1,1
78,1,1,1,1,81985,1,52.19,35,4,2,1,1
79,1,0,0,0,33954,0,46.19,55,5,3,2,2
80,0,0,0,0,29016,0,45.76,28,2,3,2,2
81,1,0,1,2,33152,1,50.02,57,3,3,2,1
82,1,1,2,2,80331,1,53.77,66,4,2,1,1
83,1,1,1,1,79235,0,51.62,57,1,2,2,2
84,0,1,0,0,35390,0,50.42,34,4,3,2,2
85,0,3,0,0,136457,0,52.17,29,4,5,1,2
86,1,1,0,0,53549,0,53.1,51,3,1,2,2
87,1,0,1,2,85674,1,50.64,42,2,2,2,1
88,1,3,0,2,129242,1,52.48,56,1,5,1,1
89,1,1,2,2,61829,1,52.85,48,5,1,2,1
90,1,3,0,0,111980,1,59.52,39,1,4,1,2
91,1,0,1,1,54675,1,52.61,36,1,1,2,1
92,1,3,0,0,106648,1,53.81,47,2,4,2,2
93,0,1,0,0,58037,0,52.65,31,5,1,1,2
94,1,2,0,1,106062,1,51.69,31,2,4,2,1
95,0,1,0,0,28008,0,56.39,38,3,3,1,2
96,1,2,0,3,86828,0,50.62,64,4,2,1,1
97,0,2,0,0,61109,1,57.61,42,2,1,1,2
98,1,1,1,2,35142,0,47.02,65,4,3,2,1
99,0,2,0,0,59673,0,48.54,26,3,1,2,1
100,1,3,1,2,133272,1,56.63,60,1,5,1,1
101,1,3,0,1,81957,0,50.09,61,2,2,1,2
102,0,1,0,0,103314,0,52.78,29,2,4,2,2
103,1,2,0,0,103546,1,51.61,37,4,4,2,2
104,0,0,1,1,58317,1,48.05,35,1,1,1,1
105,1,2,0,2,55825,0,48.53,63,1,1,1,1
106,0,1,0,0,36367,0,48.33,38,4,3,2,2
107,0,2,0,0,107852,1,54.89,35,1,4,2,2
108,1,0,0,0,105888,0,51.31,27,1,4,1,1
109,0,1,0,0,31956,0,50.51,48,5,3,1,2
110,0,0,0,0,83026,1,50.25,26,3,2,2,1
111,1,2,0,0,110808,1,56.85,37,4,4,1,2
112,1,1,2,2,51566,1,50.94,55,5,1,2,1
113,1,3,1,2,132962,1,54.67,40,1,5,2,1
114,1,2,0,0,135064,1,55.61,51,4,5,1,2
115,1,2,0,0,135997,1,54.2,51,4,5,2,2
116,0,1,0,0,57770,0,49.68,32,3,1,2,2
117,0,1,0,0,113290,0,54.55,31,1,4,1,2
118,1,1,1,2,81214,0,54.11,62,2,2,2,1
119,1,2,0,2,80624,0,49.58,43,1,2,2,1
120,1,2,0,1,106908,0,53.03,58,1,4,2,2
121,0,1,0,0,51796,0,56.24,39,1,1,1,2
122,1,2,1,2,80764,1,52.27,33,4,2,1,1
123,0,0,0,1,35297,0,47.28,39,5,3,2,1
124,0,1,0,0,78604,0,51.54,26,2,2,2,2
125,1,3,0,0,102869,0,57.71,40,1,4,1,1
126,1,1,1,2,62293,1,54.24,48,3,1,1,1
127,0,1,0,0,34607,1,48.11,42,2,3,1,2
128,1,2,1,2,53042,1,50.06,47,2,1,2,1
129,0,1,0,0,106195,0,55.41,33,1,4,2,2
130,1,2,0,2,106360,1,51.7,51,2,4,2,1
131,1,2,1,1,110288,1,54.03,45,2,4,1,1
132,0,1,0,0,112590,1,52.71,31,4,4,1,2
133,1,0,1,2,30844,1,52.73,54,2,3,1,1
134,1,2,0,3,109611,0,51.0,63,4,4,1,1
135,1,2,0,0,111685,1,52.96,37,2,4,2,2
136,1,0,1,1,30259,1,49.14,64,4,3,2,2
137,0,2,0,0,82339,0,52.62,28,2,2,1,2
138,1,1,0,0,87633,1,61.12,42,3,2,1,2
139,0,1,0,0,80782,1,51.66,34,4,2,1,2
140,1,1,0,2,57125,1,48.74,47,2,1,2,1
141,0,2,0,0,56092,1,50.33,43,1,1,1,2
142,1,2,0,0,131943,1,52.71,44,4,5,2,1
143,1,2,0,2,52627,0,50.78,54,5,1,1,1
144,1,1,0,2,26331,0,53.52,43,2,3,1,1
145,0,1,0,0,27908,0,48.73,29,1,3,1,2
146,0,1,0,0,56751,0,60.78,38,3,1,1,2
147,1,1,1,2,32619,1,57.06,50,1,3,1,1
148,1,3,0,0,105983,0,51.26,38,1,4,2,1
149,1,1,1,2,128877,1,52.95,33,4,5,2,1
150,1,2,1,1,55000,1,49.93,59,3,1,2,2
151,0,1,0,0,50910,0,48.8,28,3,1,2,2
152,1,2,1,1,57493,1,52.42,38,2,1,1,1
153,1,0,1,1,82095,1,53.16,61,2,2,2,2
154,0,2,0,0,136001,0,56.7,28,1,5,1,2
155,1,3,0,0,104443,1,51.04,36,1,4,2,1
156,0,1,0,0,59013,0,49.99,39,2,1,2,2
157,0,1,0,0,54240,0,56.33,44,2,1,1,2
158,1,3,0,2,103150,1,50.8,56,1,4,2,1
159,1,3,1,2,108823,1,53.12,43,2,4,2,1
160,0,2,0,0,77300,0,53.95,27,3,2,2,2
161,1,2,0,1,82308,1,49.8,46,2,2,2,1
162,1,1,0,0,129719,0,56.22,46,4,5,2,2
163,0,0,0,0,36588,0,46.38,28,2,3,1,2
164,1,3,0,0,81053,0,50.38,46,2,2,2,2
165,1,0,2,2,35160,1,48.62,52,3,3,2,1
166,1,1,0,0,57655,0,57.32,47,3,1,1,2
167,1,2,1,1,61513,1,57.36,49,5,1,1,1
168,0,0,0,0,57933,1,48.84,23,3,1,1,1
169,0,2,0,0,104429,1,54.84,30,1,4,1,2
170,1,0,0,2,32494,1,52.5,52,3,3,1,1
171,0,2,0,0,51293,0,48.28,25,3,1,2,1
172,1,3,1,2,78805,1,49.99,58,2,2,1,1
173,0,1,0,0,33244,0,48.21,24,5,3,1,2
174,1,1,1,1,30115,1,59.27,41,2,3,1,1
175,1,1,1,1,55404,1,50.3,57,2,1,1,2
176,0,0,0,0,34165,0,47.46,51,2,3,2,2
177,1,2,1,2,57132,1,53.79,47,3,1,1,1
178,1,2,0,0,132560,0,52.2,34,4,5,1,2
179,1,1,1,2,53062,1,54.72,49,3,1,1,1
180,1,0,1,2,79950,1,52.93,61,1,2,2,1
181,1,2,0,1,83167,1,57.56,41,1,2,1,1
182,1,0,0,0,77729,1,51.78,41,2,2,1,2
183,1,1,1,1,54058,1,48.36,50,2,1,2,1
184,1,1,0,2,87071,1,50.5,44,4,2,2,1
185,0,0,0,0,26818,0,47.15,29,3,3,2,2
186,1,0,0,2,52630,1,49.83,50,1,1,1,1
187,1,2,0,2,83410,1,54.85,47,2,2,1,1
188,1,2,1,2,83299,1,51.33,43,2,2,2,1
189,1,1,1,1,54201,0,50.72,60,1,1,2,2
190,1,2,0,0,133136,1,53.04,37,4,5,2,2
191,0,2,0,0,60371,1,51.53,25,5,1,1,2
192,1,1,1,2,55220,1,48.65,47,2,1,2,1
193,1,1,0,2,85098,0,53.81,44,2,2,1,1
194,1,2,0,0,129013,1,54.8,35,1,5,1,2
195,0,2,0,0,106013,1,55.82,36,1,4,2,2
196,0,2,0,0,77922,1,51.39,27,2,2,2,2
197,1,3,0,0,104734,0,51.2,35,4,4,2,1
198,0,2,0,0,83202,0,53.98,30,2,2,2,2
199,1,1,1,2,61391,1,50.08,60,3,1,1,1
200,1,0,0,0,82687,0,52.24,52,3,2,2,2
201,0,1,0,0,83361,0,50.99,28,2,2,1,2
202,0,2,0,0,57161,1,47.93,29,1,1,2,1
203,1,3,1,2,109320,1,54.16,42,4,4,2,1
204,1,1,1,2,27866,0,58.64,44,2,3,1,1
205,1,1,0,0,53889,0,49.64,51,3,1,2,2
206,1,0,0,2,53916,1,48.5,56,5,1,1,1
207,0,1,0,0,56880,0,48.52,24,3,1,2,1
208,1,3,1,2,85533,1,53.51,47,3,2,2,1
209,1,1,0,0,109072,0,51.35,40,1,4,2,2
210,1,4,0,2,110148,0,52.17,42,4,4,1,1
211,1,2,1,2,103959,1,55.47,38,2,4,2,1
212,0,1,0,0,54230,0,49.34,24,3,1,2,2
213,1,2,0,0,133903,1,54.91,45,1,5,2,2
214,1,1,0,0,79311,1,57.12,41,1,2,1,2
215,1,2,0,2,84084,1,49.84,43,2,2,2,1
216,0,2,0,0,54821,1,51.55,34,1,1,1,2
217,1,2,1,2,77748,1,56.89,49,2,2,1,1
218,1,0,2,2,27122,0,46.82,57,3,3,1,1
219,0,0,0,0,62520,1,50.43,40,2,1,1,2
220,0,1,0,0,55096,0,48.2,25,2,1,2,2
221,1,2,1,2,83229,1,54.53,58,1,2,1,1
222,1,0,0,3,60347,0,48.28,64,1,1,2,1
223,0,0,1,1,27006,0,47.03,38,2,3,2,1
224,1,0,0,0,56071,0,53.02,55,3,1,1,2
225,1,0,0,0,51705,1,48.04,53,2,1,1,2
226,1,0,1,2,87993,1,61.69,37,4,2,1,1
227,1,2,0,2,81913,1,50.37,49,2,2,2,1
228,0,0,0,0,55838,1,51.84,40,1,1,2,2
229,0,1,0,0,32924,0,48.47,45,2,3,2,2
230,1,2,2,2,136633,1,52.44,44,1,5,2,1
231,1,1,0,3,28954,0,45.77,69,4,3,1,1
232,1,1,0,1,78271,0,54.57,43,2,2,1,1
233,0,0,0,0,54082,1,52.55,29,2,1,1,2
234,1,2,0,0,102019,1,51.15,42,2,4,2,2
235,1,1,0,2,58336,1,55.31,45,1,1,1,1
236,1,2,0,0,106235,1,50.93,36,1,4,1,1
237,1,1,0,2,132506,0,55.78,37,4,5,1,1
238,1,0,2,2,61547,1,52.04,46,2,1,2,1
239,1,2,1,1,134871,1,54.78,65,4,5,1,2
240,0,1,0,0,51970,0,48.52,34,3,1,2,2
241,1,3,0,0,129017,1,52.94,33,4,5,2,2
242,1,1,0,0,51980,0,49.82,54,3,1,2,2
243,0,1,0,0,107530,0,53.85,35,1,4,2,2
244,1,1,0,1,80444,1,49.84,33,4,2,1,1
245,1,2,0,0,105715,1,52.54,41,2,4,2,2
246,1,0,0,1,77151,1,53.76,68,4,2,1,2
247,1,1,0,2,81669,0,50.68,46,1,2,2,1
248,0,2,0,0,81432,0,53.33,37,4,2,2,2
249,0,0,0,0,34298,1,49.64,27,1,3,1,2
250,1,1,0,2,107934,0,50.55,45,1,4,2,1
251,0,2,0,0,109457,1,55.18,30,4,4,2,2
252,0,1,1,1,54266,1,48.71,34,1,1,1,1
253,0,0,0,0,26150,0,45.07,35,3,3,2,2
254,1,3,1,2,112302,1,65.29,37,4,4,1,1
255,1,3,1,1,81542,1,52.28,44,4,2,2,1
256,1,2,1,2,51854,1,48.96,52,3,1,1,1
257,0,0,0,0,54153,1,49.83,38,1,1,2,2
258,1,1,0,0,105736,0,60.95,40,1,4,1,2
259,0,2,0,0,54626,1,49.02,25,2,1,2,2
260,0,2,0,0,83144,1,49.95,25,1,2,1,1
261,1,2,2,2,135029,1,52.19,63,4,5,1,1
262,1,0,0,2,52476,1,48.37,57,1,1,2,1
263,1,0,0,0,84807,0,51.68,50,1,2,2,2
264,0,0,0,0,36634,1,47.45,28,3,3,2,2
265,0,3,0,0,84866,0,52.34,34,1,2,2,2
266,1,1,1,2,79867,1,51.3,33,1,2,1,1
267,1,0,0,2,51783,0,48.34,62,4,1,1,1
268,1,1,1,2,55768,1,49.91,60,4,1,2,1
269,1,2,1,2,80690,1,53.74,45,2,2,2,1
270,0,0,0,0,30247,1,46.58,30,3,3,2,1
271,1,2,0,2,83705,1,54.01,46,2,2,1,1
272,0,2,0,0,106597,0,50.76,33,1,4,2,2
273,0,0,1,2,60958,1,48.95,32,4,1,2,1
274,1,2,0,0,111130,1,63.85,38,1,4,1,2
